country,Country Code,Series Name,Series Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bulgaria,BGR,Economic Fitness Metric,EF.EFM.OVRL.XD,1.141,1.5251,1.5655,1.5938,1.5321,1.5079,1.4859,1.4671,1.5327,1.5515,1.4948,1.4448,1.5684,1.5418,1.7187,1.6226,1.7138,1.8274,1.6918,1.7484,1.771507149
Burkina Faso,BFA,Economic Fitness Metric,EF.EFM.OVRL.XD,0.02342,0.047047,0.12448,0.081915,0.1233,0.31814,0.36634,0.46714,0.087583,0.13148,0.094416,0.10035,0.13601,0.038957,0.036876,0.068757,0.011438,0.022899,0.018707,0.027383,0.008403647
Burundi,BDI,Economic Fitness Metric,EF.EFM.OVRL.XD,0.0066877,0.0069306,0.0020183,0.0030537,0.0050292,0.0058257,0.022126,0.05324,0.0067326,0.014626,0.017863,0.079164,0.093125,0.062204,0.05123,0.051784,0.046071,0.043586,0.02417,0.073953,0.034917398
Cambodia,KHM,Economic Fitness Metric,EF.EFM.OVRL.XD,0.023143,0.089116,0.047222,0.062031,0.072406,0.12202,0.12356,0.17911,0.16904,0.13867,0.15024,0.19011,0.202,0.1715,0.18825,0.19208,0.22172,0.2492,0.29668,0.2647,0.409337456
Cameroon,CMR,Economic Fitness Metric,EF.EFM.OVRL.XD,0.023974,0.013859,0.015522,0.0046761,0.013287,0.028508,0.02577,0.050007,0.047872,0.017857,0.030214,0.027219,0.040332,0.035961,0.074249,0.057295,0.069906,0.049654,0.0045198,0.048023,0.038481714
Canada,CAN,Economic Fitness Metric,EF.EFM.OVRL.XD,1.6268,2.1766,1.9613,2.0334,2.0091,1.9088,1.7855,2.0084,1.9006,1.8057,1.5514,1.5044,1.3936,1.2924,1.4915,1.3988,1.4258,1.424,1.2577,1.173,1.353095732
Central African Republic,CAF,Economic Fitness Metric,EF.EFM.OVRL.XD,0.02449,0.039857,0.035573,0.052478,0.08852,0.098779,0.1656,0.13201,0.075877,0.027396,0.035488,0.027282,0.020659,0.031713,0.053811,0.042074,0.023643,0.045987,0.018956,0.019533,0.005683702
Chad,TCD,Economic Fitness Metric,EF.EFM.OVRL.XD,5.95E-21,5.02E-19,3.86E-14,3.75E-06,0.0025015,0.00040674,0.0076266,0.043284,0.0058311,2.09E-52,6.77E-59,5.12E-42,3.76E-134,1.46E-71,4.43E-16,1.95E-98,5.25E-206,0,4.84E-130,1.61E-159,8.05E-16
Chile,CHL,Economic Fitness Metric,EF.EFM.OVRL.XD,0.34157,0.46454,0.50715,0.62131,0.53348,0.5699,0.54715,0.51372,0.60327,0.47508,0.49711,0.42532,0.37556,0.44801,0.44224,0.36344,0.41118,0.38865,0.351,0.35453,0.424866646
China,CHN,Economic Fitness Metric,EF.EFM.OVRL.XD,3.857,3.5214,3.8326,3.5612,3.85,4.4365,4.8113,4.9697,5.2449,5.5162,5.9134,6.1033,6.3129,6.7478,6.8373,7.3882,7.9147,8.3551,8.5557,8.8967,10.68784292
