country,Country Code,Series Name,Series Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Morocco,MAR,Economic Fitness Metric,EF.EFM.OVRL.XD,0.42505,0.42687,0.43441,0.46879,0.49309,0.50539,0.50336,0.57593,0.63642,0.56818,0.63891,0.75024,0.87545,0.70816,0.81888,0.81419,0.83998,0.71654,0.81998,0.71335,0.516323175
Mozambique,MOZ,Economic Fitness Metric,EF.EFM.OVRL.XD,0.024877,0.031872,0.0358,0.054563,0.12585,0.19746,0.061693,0.066749,0.095707,0.050128,0.044852,0.064249,0.05292,0.055609,0.14332,0.047101,0.060922,0.037883,0.04864,0.064007,0.057476144
Myanmar,MMR,Economic Fitness Metric,EF.EFM.OVRL.XD,0.032911,0.052975,0.087021,0.082819,0.099925,0.11692,0.11043,0.13298,0.1372,0.099298,0.099835,0.1083,0.12057,0.095807,0.11084,0.13618,0.13044,0.1506,0.11665,0.12515,0.152873845
Nepal,NPL,Economic Fitness Metric,EF.EFM.OVRL.XD,0.084765,0.10277,0.15785,0.27601,0.27949,0.32289,0.41442,0.48849,0.79179,0.46974,0.55871,0.61127,0.55567,0.57569,1.0479,0.75414,0.71503,0.67358,0.59039,0.60773,0.502333652
Netherlands,NLD,Economic Fitness Metric,EF.EFM.OVRL.XD,4.9646,4.7052,4.4316,4.3403,4.4804,3.9398,4.0937,4.0177,3.8728,3.9046,3.788,3.9454,3.7954,3.6934,3.8501,3.5109,3.6941,3.269,3.1935,3.7887,3.814341904
New Zealand,NZL,Economic Fitness Metric,EF.EFM.OVRL.XD,0.76062,0.73081,0.77881,0.93496,0.95098,0.967,0.89163,0.90314,0.93619,1.0293,1.0619,1.0594,0.99617,0.90872,0.78335,0.72083,0.77461,0.75812,0.68935,0.62542,0.651715044
Nicaragua,NIC,Economic Fitness Metric,EF.EFM.OVRL.XD,0.14439,0.12737,0.10595,0.15204,0.15977,0.15464,0.14509,0.23324,0.15536,0.12817,0.11579,0.16938,0.16133,0.16856,0.14367,0.13548,0.12844,0.18133,0.14148,0.10216,0.098535281
Niger,NER,Economic Fitness Metric,EF.EFM.OVRL.XD,0.095892,0.10338,0.13496,0.12809,0.15433,0.14546,0.11426,0.20927,0.19653,0.061494,0.11356,0.17736,0.13161,0.090326,0.051508,0.037961,0.026838,0.023915,0.01253,0.037416,0.011313939
Nigeria,NGA,Economic Fitness Metric,EF.EFM.OVRL.XD,0.0024274,0.0098886,0.0022254,0.0087175,0.0084465,0.00081844,0.0013756,0.011465,0.0068937,0.0005056,0.00018587,0.0015823,0.0080727,0.0077914,0.02846,0.012263,0.0030983,0.013625,0.011331,0.0095373,4.17E-06
Norway,NOR,Economic Fitness Metric,EF.EFM.OVRL.XD,1.0608,0.95932,0.90993,1.1108,1.0612,0.83635,0.77247,0.811,0.76938,0.7963,0.66277,0.62118,0.6985,0.57004,0.61325,0.62307,0.46158,0.5093,0.51789,0.55034,0.597234747
Oman,OMN,Economic Fitness Metric,EF.EFM.OVRL.XD,0.084663,0.099349,0.092458,0.17657,0.18378,0.13259,0.10683,0.15879,0.041554,0.10957,0.097551,0.10063,0.10637,0.084706,0.082391,0.10071,0.091182,0.092843,0.0913,0.062759,0.096185045
Pakistan,PAK,Economic Fitness Metric,EF.EFM.OVRL.XD,0.41299,0.44049,0.43377,0.52464,0.53478,0.54465,0.59506,0.62398,0.85184,0.96121,1.0083,1.1275,1.092,1.0912,1.2013,1.1157,1.3009,1.1359,1.1623,1.075,1.115248222
Panama,PAN,Economic Fitness Metric,EF.EFM.OVRL.XD,0.96284,0.61509,0.94916,1.0877,1.0543,1.2355,1.1462,1.0934,1.0946,1.0384,1.0057,1.6131,2.0251,2.1862,1.7908,2.1445,1.9731,2.3655,1.5891,0.51843,0.754755823
Paraguay,PRY,Economic Fitness Metric,EF.EFM.OVRL.XD,0.14382,0.12635,0.13116,0.12192,0.12897,0.12058,0.1213,0.12744,0.11664,0.10269,0.14363,0.14637,0.16295,0.12732,0.14566,0.13473,0.1288,0.14328,0.12589,0.11123,0.089010033
Peru,PER,Economic Fitness Metric,EF.EFM.OVRL.XD,0.27603,0.27147,0.3116,0.37814,0.35547,0.39814,0.46104,0.42964,0.43536,0.36198,0.35851,0.33659,0.34021,0.36422,0.45066,0.38445,0.37622,0.47741,0.44575,0.40452,0.352864685
Philippines,PHL,Economic Fitness Metric,EF.EFM.OVRL.XD,0.67803,0.72516,0.69204,0.72819,0.73938,0.77543,0.902,0.90166,0.80757,0.86137,0.84464,0.96677,0.98403,1.0594,0.98541,0.98664,1.2668,1.4679,1.3825,1.8031,1.824482142
Poland,POL,Economic Fitness Metric,EF.EFM.OVRL.XD,1.8824,1.8825,2.0605,2.1746,2.1282,2.14,2.0381,2.1326,2.1932,2.2328,2.3564,2.345,2.4102,2.4522,2.2719,2.4439,2.5561,2.5792,2.5828,2.56,2.474829389
Portugal,PRT,Economic Fitness Metric,EF.EFM.OVRL.XD,1.3854,1.3322,1.4323,1.5364,1.5352,1.7137,1.6982,1.6211,1.7074,1.8734,1.8486,2.0282,2.2021,2.3376,2.2487,2.3957,2.5812,2.4979,2.5524,2.4523,2.34905577
Qatar,QAT,Economic Fitness Metric,EF.EFM.OVRL.XD,0.0022239,0.00014663,1.84E-28,0.0040286,0.0042772,0.0082303,0.0053942,0.021567,0.019677,0.022104,0.018211,0.0069359,0.0066545,0.0016938,0.0147,0.048752,0.0050346,1.41E-138,6.59E-37,5.32E-44,0.034302741
Romania,ROU,Economic Fitness Metric,EF.EFM.OVRL.XD,1.5143,1.3077,1.3921,1.3016,1.3236,1.2895,1.3471,1.2762,1.3787,1.4494,1.3703,1.4566,1.648,1.7196,1.6389,1.7087,1.6355,1.7374,1.9819,1.7622,1.751493962
Russian Federation,RUS,Economic Fitness Metric,EF.EFM.OVRL.XD,0.74716,1.1473,1.2101,1.2961,1.3616,1.241,1.3428,1.3627,1.3501,1.1208,0.85617,0.92522,0.82338,0.74733,0.7238,0.73937,0.60945,0.67992,0.57328,0.63192,0.851629587
Rwanda,RWA,Economic Fitness Metric,EF.EFM.OVRL.XD,0.0056875,0.034577,0.023748,0.012311,0.016552,0.027094,0.028539,0.045738,0.036619,0.010814,0.10289,0.075363,0.11427,0.10286,0.23169,0.15029,0.083349,0.076665,0.082483,0.12003,0.121439917
Saudi Arabia,SAU,Economic Fitness Metric,EF.EFM.OVRL.XD,0.13243,0.11688,0.02323,0.26974,0.063499,0.044851,0.14751,0.058496,0.15048,0.045511,0.11485,0.11114,0.18232,0.039176,0.026907,0.044551,0.0088975,0.020171,0.055871,0.080376,0.414148132
Senegal,SEN,Economic Fitness Metric,EF.EFM.OVRL.XD,0.037011,0.17083,0.17111,0.258,0.21064,0.27202,0.30538,0.28286,0.36619,0.40262,0.40313,0.39536,0.527,0.28166,0.25679,0.24911,0.19777,0.25159,0.20364,0.2688,0.159550913
Serbia,SRB,Economic Fitness Metric,EF.EFM.OVRL.XD,..,..,..,..,..,..,..,..,..,..,1.0182,1.1707,1.2469,1.2773,1.2145,1.0716,1.1155,1.1957,1.1219,1.1086,1.04120265
Sierra Leone,SLE,Economic Fitness Metric,EF.EFM.OVRL.XD,0.14373,0.16547,0.24334,0.33585,0.40369,0.32021,0.41622,0.57664,0.59379,0.61598,0.5968,0.35308,0.22678,0.18957,0.30576,0.2896,0.16244,0.083719,0.032602,0.014576,0.122472602
Singapore,SGP,Economic Fitness Metric,EF.EFM.OVRL.XD,1.6845,1.5187,1.4656,1.6075,1.6762,1.7678,1.953,1.7377,1.8043,1.774,1.5428,1.754,1.9804,2.0598,1.8751,1.8063,1.8476,1.6418,1.7025,1.7245,2.295571516
Slovak Republic,SVK,Economic Fitness Metric,EF.EFM.OVRL.XD,1.8588,1.8672,1.8904,1.6955,1.6805,1.4812,1.5204,1.5085,1.4876,1.4753,1.6787,1.6111,1.6258,1.6829,1.6374,1.68,1.7466,1.8135,1.6719,1.6778,1.525069288
Slovenia,SVN,Economic Fitness Metric,EF.EFM.OVRL.XD,2.3997,2.39,2.3422,2.3267,2.4298,2.4229,2.3107,2.321,2.2494,2.3182,2.2707,2.3882,2.3063,2.2185,2.1381,2.2018,2.2728,2.1708,2.2908,2.3331,2.267489653
Somalia,SOM,Economic Fitness Metric,EF.EFM.OVRL.XD,0.00096288,0.0012737,0.0029287,0.0097874,0.023148,0.034577,0.034279,0.0763,0.064795,0.020402,0.033052,0.044669,0.10917,0.036481,0.0042049,0.001689,2.04E-07,1.43E-40,2.13E-06,0.00084799,0.000268138
South Africa,ZAF,Economic Fitness Metric,EF.EFM.OVRL.XD,0.94555,0.82188,0.86705,0.89442,1.4911,1.3908,1.5288,1.4091,1.4383,1.4725,1.2251,1.1783,1.0242,0.99972,1.1354,1.045,0.99019,1.0067,1.0436,1.0167,0.978425287
Spain,ESP,Economic Fitness Metric,EF.EFM.OVRL.XD,3.9636,3.791,3.6635,3.7064,3.9588,3.8666,3.8873,3.925,3.7625,3.8884,4.01,3.773,3.696,3.8409,3.9484,4.0198,4.2765,3.8759,4.3146,4.3425,3.671046398
Sudan,SDN,Economic Fitness Metric,EF.EFM.OVRL.XD,0.01341,0.028294,0.018,0.039918,0.043967,0.017508,0.0061777,0.021384,0.0095609,0.0045024,0.0047124,0.0050647,0.00011937,0.0017869,0.00067223,4.84E-05,4.76E-07,..,..,..,..
Suriname,SUR,Economic Fitness Metric,EF.EFM.OVRL.XD,0.024359,0.010182,0.0085638,0.0062709,0.017751,0.067116,0.050875,0.067029,0.077997,0.042118,0.041428,0.066154,0.055636,0.028979,0.065588,0.01601,0.068929,0.035725,0.023409,0.039917,0.00344802
Sweden,SWE,Economic Fitness Metric,EF.EFM.OVRL.XD,3.3669,3.2344,3.2109,3.2804,3.1129,2.7734,2.9833,3.0268,2.8041,2.8637,2.7512,2.7176,2.8303,2.6238,2.634,2.7701,2.7761,2.6403,2.7162,2.7746,2.466414279
Switzerland,CHE,Economic Fitness Metric,EF.EFM.OVRL.XD,6.132,5.3914,4.8651,4.5718,4.358,4.5034,4.7659,4.078,4.2888,4.0237,4.0759,3.8962,3.7207,3.7535,3.4084,3.4386,3.2907,2.9278,2.7087,2.9808,2.702371488
Syrian Arab Republic,SYR,Economic Fitness Metric,EF.EFM.OVRL.XD,0.075766,0.10472,0.098989,0.24083,0.24535,0.20007,0.29161,0.31839,0.43459,0.4794,0.64125,0.76593,0.83598,0.71276,0.84797,0.85622,0.71844,1.0417,0.8303,0.4935,0.483639975
Tajikistan,TJK,Economic Fitness Metric,EF.EFM.OVRL.XD,0.064967,0.13224,0.13271,0.17472,0.15364,0.10272,0.094617,0.11267,0.081996,0.085289,0.071985,0.075486,0.051551,0.059693,0.061299,0.07432,0.079903,0.046662,0.047365,0.081458,0.031548299
Tanzania,TZA,Economic Fitness Metric,EF.EFM.OVRL.XD,0.033436,0.043646,0.075087,0.22599,0.30074,0.18153,0.22707,0.22976,0.20782,0.26561,0.28882,0.2814,0.36788,0.40503,0.36712,0.38284,0.31076,0.338,0.27978,0.22094,0.131767529
Thailand,THA,Economic Fitness Metric,EF.EFM.OVRL.XD,1.6888,1.5323,1.7696,1.7461,1.7817,2.2107,2.0664,2.1931,2.094,2.1367,2.0519,2.2527,2.4153,2.4269,2.3895,2.3902,2.5414,2.4083,2.4778,2.5855,2.673715612
Togo,TGO,Economic Fitness Metric,EF.EFM.OVRL.XD,0.1192,0.14048,0.16951,0.14877,0.15394,0.16592,0.17985,0.2405,0.21595,0.18964,0.27582,0.20127,0.20391,0.15857,0.18564,0.16418,0.16292,0.18024,0.21552,0.17841,0.140016208
Tunisia,TUN,Economic Fitness Metric,EF.EFM.OVRL.XD,0.52585,0.53871,0.57131,0.59513,0.60329,0.6948,0.73097,0.81731,0.83916,0.86283,0.88685,0.94732,0.9645,0.98797,1.0936,1.1665,1.1742,1.1904,1.0497,1.0009,1.074020541
Turkey,TUR,Economic Fitness Metric,EF.EFM.OVRL.XD,1.1475,1.3616,1.6044,1.741,1.7208,1.8912,1.9446,1.8957,1.9274,1.9018,2.1389,2.3175,2.2535,2.2283,2.4168,2.4831,2.7486,2.5056,2.6973,2.8895,2.560730761
Turkmenistan,TKM,Economic Fitness Metric,EF.EFM.OVRL.XD,0.018989,0.031699,0.019068,0.088655,0.061247,0.029817,0.028794,0.027402,0.017628,0.021986,0.013985,0.011763,0.010596,0.0087182,0.020347,0.033554,0.0092905,0.0029625,0.00043425,3.89E-07,0.001363964
Uganda,UGA,Economic Fitness Metric,EF.EFM.OVRL.XD,0.072513,0.057408,0.084416,0.066135,0.05755,0.09442,0.14251,0.13993,0.17902,0.15351,0.20702,0.17425,0.22308,0.23391,0.37239,0.32334,0.3177,0.33515,0.29711,0.24534,0.21750698
Ukraine,UKR,Economic Fitness Metric,EF.EFM.OVRL.XD,0.64156,1.5869,1.3722,1.2253,1.393,1.3613,1.263,1.2691,1.2303,1.2229,1.2161,1.2135,1.2755,1.1648,1.322,1.3306,0.88526,1.0032,1.0916,0.96492,0.781894746
United Arab Emirates,ARE,Economic Fitness Metric,EF.EFM.OVRL.XD,0.10596,0.12949,0.16518,0.34634,0.34197,0.29689,0.30817,0.36551,0.36146,0.48235,0.67758,0.21291,0.67632,0.45388,0.18639,0.56959,0.39783,0.14041,0.18323,0.18133,0.343862097
United Kingdom,GBR,Economic Fitness Metric,EF.EFM.OVRL.XD,6.6168,6.3503,5.6764,5.5093,5.2759,4.8404,4.7249,4.4771,4.6435,4.5976,4.3005,4.1918,4.0006,4.0409,3.9909,4.044,3.8493,3.7702,3.6603,3.9654,3.607584883
United States,USA,Economic Fitness Metric,EF.EFM.OVRL.XD,7.4409,6.8277,6.8148,6.498,6.8009,6.3808,6.055,6.1507,5.9814,6.2631,6.0494,5.8563,5.6007,5.3092,5.1251,5.5102,5.7536,5.4859,5.303,5.3215,5.26366717
Uruguay,URY,Economic Fitness Metric,EF.EFM.OVRL.XD,0.74337,0.48999,0.61943,0.56195,0.61205,0.56575,0.55814,0.5118,0.44167,0.47861,0.63931,0.58981,0.61876,0.52805,0.52577,0.46737,0.44353,0.35751,0.34783,0.3159,0.292351162
Uzbekistan,UZB,Economic Fitness Metric,EF.EFM.OVRL.XD,0.020125,0.20037,0.19076,0.22466,0.22723,0.23698,0.26029,0.26263,0.27906,0.21196,0.21012,0.15481,0.13353,0.14498,0.1753,0.22017,0.18766,0.2132,0.15191,0.18654,0.191598065
"Venezuela, RB",VEN,Economic Fitness Metric,EF.EFM.OVRL.XD,0.25086,0.19595,0.21275,0.36451,0.174,0.12529,0.15188,0.15773,0.13968,0.12099,0.10213,0.068035,0.046519,0.024365,0.028739,0.019413,0.0057054,7.16E-40,0.0031265,8.42E-09,8.03E-05
Vietnam,VNM,Economic Fitness Metric,EF.EFM.OVRL.XD,0.26026,0.34549,0.45242,0.50304,0.58929,0.71028,0.86349,0.91323,0.99869,0.99677,1.0966,1.2091,1.2272,1.3216,1.468,1.5226,1.5714,1.3704,1.4304,1.3734,1.391330426
"Yemen, Rep.",YEM,Economic Fitness Metric,EF.EFM.OVRL.XD,0.00019593,5.1E-05,2.01E-10,0.0070651,0.0025557,0.0041983,0.010682,0.014214,0.006892,0.03176,0.029784,0.03762,0.054389,0.046095,0.057976,0.03478,0.039194,0.030929,0.016861,0.034957,0.074170996
Zambia,ZMB,Economic Fitness Metric,EF.EFM.OVRL.XD,0.069616,0.027963,0.11811,0.24401,0.25267,0.1992,0.13699,0.18257,0.16119,0.10726,0.058959,0.061382,0.077562,0.088999,0.097619,0.071232,0.052598,0.072511,0.11341,0.071836,0.065307386
Zimbabwe,ZWE,Economic Fitness Metric,EF.EFM.OVRL.XD,0.40779,0.19333,0.15889,0.26544,0.3129,0.43621,0.32257,0.38231,0.38053,0.35802,0.2911,0.20396,0.27656,0.27363,0.17235,0.14691,0.15975,0.14047,0.15179,0.16395,0.107816858
